Timestamp,Meter Reading,day,time,dur,use,duration number value,hours,use/hour,Notes,Buy Token
2020-04-14T11:00:00,44,2020-04-14,11:00:00,,,,,,,
2020-04-14T12:47:00,43.4,2020-04-14,12:47:00,01:47:00,0.6,0.07430555556,1.783333333,0.3364485981,,
2020-04-14T19:20:00,42.5,2020-04-14,19:20:00,06:33:00,0.9,0.2729166667,6.55,0.1374045802,,
2020-04-14T20:57:00,38,2020-04-14,20:57:00,01:37:00,4.5,0.06736111111,1.616666667,2.783505155,geyser,
2020-04-15T05:09:00,37.3,2020-04-15,05:09:00,08:12:00,0.7,0.3416666667,8.2,0.08536585366,sleeping,
2020-04-15T10:40:00,36.4,2020-04-15,10:40:00,05:31:00,0.9,0.2298611111,5.516666667,0.163141994,Breakfast/coffee/idle,
2020-04-15T12:47:00,36,2020-04-15,12:47:00,02:07:00,0.4,0.08819444444,2.116666667,0.188976378,,
2020-04-15T16:16:00,35.3,2020-04-15,16:16:00,03:29:00,0.7,0.1451388889,3.483333333,0.2009569378,,
2020-04-15T21:28:00,31.9,2020-04-15,21:28:00,05:12:00,3.4,0.2166666667,5.2,0.6538461538,"idle, geyser",
2020-04-16T05:37:00,31.1,2020-04-16,05:37:00,08:09:00,0.8,0.3395833333,8.15,0.0981595092,sleep,
2020-04-16T10:13:00,30.4,2020-04-16,10:13:00,04:36:00,0.7,0.1916666667,4.6,0.152173913,breakfast to Pre-lunch,
2020-04-17T05:30:00,25.7,2020-04-17,05:30:00,14:00:00,4.7,0.5833333333,14,0.3357142857,geyser/sleeping,
2020-04-18T09:52:00,20.3,2020-04-18,09:52:00,28:22:00,5.4,1.181944444,28.36666667,0.1903642773,yesterday,
2020-04-18T10:02:00,186.8,2020-04-18,10:02:00,,-166.5,0,0,,Buy Token R350,350
2020-04-18T12:00:00,186.6,2020-04-18,12:00:00,01:58:00,0.2,0.08194444444,1.966666667,0.1016949153,"switch geyser on, not heating",
2020-04-19T07:15:00,180.4,2020-04-19,07:15:00,19:15:00,6.2,0.8020833333,19.25,0.3220779221,yesterday afternoon + breakfast,
